FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
0,0.076505981,0.026806407,0,0,0,0.015101997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01869651,0,0,0,0,0,0,0.009208352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004391492,0,0,0,0,0,0,0.094987323,0,0.001723169,0,0,0,0,0,0,0.011304658,0.001058341,0,0.011595234,0.003155987,0,0,0,0,0,0,0,0.005741391,0,0,0.003978046,0,0,0.000763434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001787904,0.009661375,0.000964211,0.001345512,0,0,0.000918621,0.004566586,0,0.004377324,0.002858029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001100749,0,0,0,0,0,0.007327945,0.002592865,0.001224868,0,0,0,0,0,0,0,0,0,0.001947655,0,0.000120331,0,0,0,0,0.002674855,0,0,0,0,0.000600084,0,0,0,0,0,0,0,0.001344489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.019665724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002964483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.018740401,0,0,0,0.041785303,0,0,0,0.045527826,0.056265964,0.042600279,0.021998992,0.01351357,0.006839678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054948001,0.03617144,0,0.010814598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067325229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001863832,0,0.001453124,0.004842349,0.006378826,0.001915632,0.001733325,0,0,0.001447235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001495123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011549145,0.003515011,0.024160643,0,0,0.001419858,0,0.04015687,0,0,0,0.000632094,0,0,0,0,0,0,0,0,0.001186266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006610042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012492216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000859451,0,0.003659789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007180511,0.019584138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.030907653,0,0.127691139,0.030713543,0,0.058009756,0,0.052190455,0,0.01224433,0.037587122,0.060971178,0.042252039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038199747,0,0.01809226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007585836,0.008805379,0,0,0,0,0,0,0,0,0,0,0,0.00983076,0,0,0,0,0,0,0,0,0,0,0,0,0.008841583,0.011024589,0,0.000446409,0.003989153,0.000361171,0.001703278,0.005241191,0.012715862,0.004706313,0,0,0.012354374,0.001580812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003648036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007743719,0.007683414,0.018575684,0,0,0.001862771,0.023473478,0,0,0,0,0,0,0.001214562,0,0,0,0,0,0,0,0,0.002011597,0,0,0.003353641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024816967,0.016885755,0.077002854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018010673,0.009706101,0,0.008905572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000837141,0,0.002232104,0,0.00608514,0.011844584,0,0,0,0,0,0,0.005672739,0,0,0,0,0,0,0,0,0,0,0,0.002601973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007995847,0,0.001466773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001864803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.021108368,0,0,0,0,0,0,0,0,0,0,0,0,0.021719551,0.025659948,0.009288941,0.070698037,0.003644136,0.013514252,0.016426717,0.011948494,0,0.003825491,0,0,0.008428818,0,0,0,0.01440752,0.028967477,0.023227071,0.045745665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002032633,0,0,0,0,0,0,0,0,0,0,0.06872359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002661906,0,0,0,0,0,0.000460578,0,0,0,0.009604837,0.01821753,0,0,0.002431454,0.002544701,0.000724516,0.000991327,0.033698767,0,0,0.000727122,0,0,0,0.001068513,0,0.002121544,0,0.014155256,0.006599576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012868748,0,0,0,0,0,0,0,0,0,0.007017191,0,0.001550434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001882475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.018333574,0.009737709,0,0.059085069,0.038970316,0.004928427,0.190689375,0.027261066,0.045186419,0,0,0,0.005250632,0,0,0.006455691,0,0,0,0.016701565,0.031032019,0.013947544,0.048485925,0.037542365,0.00598488,0.038054353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033846212,0.008225598,0,0.004778007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002053393,0,0,0.020023563,0.028823585,0,0,0,0,0,0.000865396,0.021105967,0,0,0,0,0,0,0,0,0,0,0.008533665,0.008925696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030353339,0,0,0,0,0,0,0,0,0,0,0,0.000947018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019941202,0.011034541,0.00321396,0.022762593,0,0,0.006078122,0.003338667,0,0,0,0,0,0,0,0,0.004469847,0.006307183,0.00333288,0.010975935,0,0,0.003951359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001178473,0,0,0,0,0,0,0,0,0,0,0.027961449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001272499,0,0,0,0,0,0.000443461,0.000378153,0.000616739,0,0.007433992,0.007146528,0.002239736,0,0,0,0,0,0.008689997,0,0,0,0,0,0,0,0,0.000653244,0,0.004892289,0.004311508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008925479,0,0,0,0,0,0,0,0,0,0.004722427,0,0.001280031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00164881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009341035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027676521,0.007466759,0.003874049,0.00392423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007675146,0,0,0,0,0,0,0,0.004572812,0,0,0,0,0,0,0,0,0,0,0,0.004930118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
